open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,return,log_return,volatility,sma_14,sma_50,ema_14,ema_50,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,target_close_shift_6,future_return_6,label,label_binary
2025-06-27 08:00:00+00:00,106869.72,107159.95,106679.98,106983.6,2318.07544,2025-06-27 11:59:59.999000+00:00,247887872.1647778,312445,814.80191,87134253.5743922,0,0.0010656901754482,0.0010651227307842,0.0042931087677081,107289.01357142856,104584.8886,106867.36454740462,105328.1984200824,56.95639698993985,858.1859339747753,981.8846655776084,-123.69873160283316,108598.11149597097,104937.17450402904,0.0342888246764229,107373.39,0.003643455632452,0,0
2025-06-27 12:00:00+00:00,106983.6,107407.14,106356.76,107308.25,3704.52866,2025-06-27 15:59:59.999000+00:00,395417935.3507732,683384,1376.20607,146971858.4892798,0,0.0030345772623092,0.0030299822263761,0.0042719156706792,107339.60214285714,104638.1966,106926.14927441732,105405.8475016478,56.60819586459807,820.4343166255858,949.594595787204,-129.16027916161818,108512.63718195495,105260.09981804506,0.0304298612587807,107449.28,0.0013142512341781,0,0
2025-06-27 16:00:00+00:00,107308.25,107709.22,106446.45,106801.02,1987.48356,2025-06-27 19:59:59.999000+00:00,212704728.8819908,553298,930.51465,99623397.915623,0,-0.004726849985905,-0.0047380568707547,0.0042111908409176,107311.245,104678.6924,106909.46537116168,105460.560148642,46.23198089592532,741.0443678007287,907.884550189909,-166.8401823891803,108381.45660130974,105554.38239869029,0.026429178167006,107225.74,0.0039767410461061,0,0
2025-06-27 20:00:00+00:00,106801.02,107277.99,106794.33,107047.59,803.98886,2025-06-27 23:59:59.999000+00:00,86097023.6905805,196111,410.03854,43907940.9445656,0,0.0023086858159218,0.0023060248955226,0.0042455662637961,107312.64428571428,104737.7056,106927.88198834012,105522.79661340117,50.18327012262863,690.0687170940655,864.3213835707403,-174.2526664766748,108215.67929200538,105900.44570799462,0.0216259619308052,107296.79,0.0023279365747514,0,0
2025-06-28 00:00:00+00:00,107047.58,107347.1,106811.51,107300.13,775.04704,2025-06-28 03:59:59.999000+00:00,82962353.9665924,155293,374.90918,40137601.2821406,0,0.0023591376508336,0.0023563592544941,0.003841978491787,107279.67642857145,104798.6994,106977.51505656145,105592.49596189524,45.25489212332997,662.412139280088,823.9395347126099,-161.52739543252187,108090.68221536,106191.13678463998,0.0177294129719892,107210.78,-0.0008327110134909,0,0
2025-06-28 04:00:00+00:00,107300.13,107496.12,107183.29,107485.0,497.62159,2025-06-28 07:59:59.999000+00:00,53417738.5894211,85227,259.47748,27853139.9954647,0,0.0017229242872305,0.0017214417557961,0.003728379744838,107289.99214285714,104855.2276,107045.17971568658,105666.7118065268,51.56055497909711,647.942488408371,788.7401254517622,-140.7976370433912,108029.96513320495,106392.05386679505,0.0152774540044783,107402.18,-0.0007705261199237,0,0
2025-06-28 08:00:00+00:00,107485.01,107493.07,107252.6,107373.39,416.2984,2025-06-28 11:59:59.999000+00:00,44682783.8034899,76746,171.5647,18413758.1157217,0,-0.001038377448016,-0.0010389169353716,0.0034834240875149,107255.67785714286,104910.7628,107088.94108692836,105733.6403631336,44.31560015131096,620.3185455498169,755.0558094713732,-134.7372639215563,107946.86372361818,106589.2932763818,0.0126558661833062,108477.11,0.0102792693794989,0,0
2025-06-28 12:00:00+00:00,107373.39,107577.75,107084.15,107449.28,714.87392,2025-06-28 15:59:59.999000+00:00,76688251.596411,113989,318.20099,34145842.3382394,0,0.0007067859178144,0.000706536262276,0.0034940768768543,107229.62714285716,104943.5136,107136.98627533791,105800.92034889308,45.72106370931706,597.6606011956901,723.5767678162366,-125.9161666205465,107915.61094610648,106705.4730538935,0.0112769712058017,107750.72,0.0028054166579804,0,0
2025-06-28 16:00:00+00:00,107449.28,107542.5,107225.74,107225.74,499.08961,2025-06-28 19:59:59.999000+00:00,53589117.2446364,132871,223.67333,24018743.4355519,0,-0.00208042343327,-0.0020825905202616,0.003318681556393,107222.50785714286,104968.472,107148.82010529286,105856.79562932864,48.75308070491974,555.2654527564591,689.9145048042811,-134.649052047822,107916.03792361997,106707.81807638003,0.0112589520080181,107406.81,0.0016886803485804,0,0
2025-06-28 20:00:00+00:00,107225.74,107378.37,107154.62,107296.79,379.24296,2025-06-28 23:59:59.999000+00:00,40685145.4025627,89179,166.59391,17872078.8461213,0,0.0006626207475928,0.0006624013113952,0.0033243158526535,107221.30714285711,105030.048,107168.54942458717,105913.26599680596,49.7927705138212,521.3898754578404,656.209578934993,-134.81970347715264,107914.6593936775,106736.07560632253,0.0109814092866254,108356.93,0.0098804446992309,0,0
